sample_id,latitude,longitude,myco_diversity,est_s_e,x95_percent_lower,x95_percent_upper,raw_obs_div,sample_type,sequencing_platform,target_marker,primers,top,bot,core_length,seq_depth
S000585,-9.4448,147.34867,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,3639
S000586,-9.44475,147.34958,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,6006
S000587,-9.43501,147.37553,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,5339
S000588,-9.41755,147.37845,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,4740
S000589,-9.42183,147.36922,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,7444
S000590,-6.63903,146.90886,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,6691
S000591,-6.71287,146.80747,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,7128
S000592,-7.30435,147.10349,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,4564
S000593,-7.30579,147.1175,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,5649
S000594,-7.30575,147.11343,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,5664
S000595,-7.30364,147.13239,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,7754
S000596,-7.28121,147.12511,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,5589
S000597,-6.65241,146.89122,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,4560
S000598,3.75,101.7128333,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,3986
S000599,3.711416667,101.7378333,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,5634
S000600,3.71025,101.715,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,3139
S000601,3.303333333,101.62025,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,4962
S000602,3.216666667,101.83975,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,4430
S000603,20.34902,105.59649,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,2939
S000604,14.26995,74.75724,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,6350
S000605,14.27663,74.73857,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,6318
S000606,13.49556,75.2251,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,5043
S000607,-24.745,46.852,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,8306
S000608,-18.9162,47.917,0,0,0,0,0,soil,454Roche,ITS2,ITS3/ITS4,0,5,5,6031
